,id,nombre,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia,2019_alineaciones,2019_puntos_por_partido,2019_minutos_jugados,2019_minutos_por_gol,2019_minutos_por_asistencia
453,57162,sofiane-feghouli,33,1.36,2042,408,510,28,1.25,1508,377,503,31,2.23,2191,313,219,40,1.85,2804,216,401,36,1.61,2821,403,470
455,170953,stephane-bahoken,30,1.6,1644,274,1644,34,1.88,1737,248,434,32,1.19,2080,231,2080,33,1.24,2583,235,1292,24,1.54,1195,171,598
456,238639,steve-mounie,34,1.35,2683,244,537,38,1.08,3036,202,1012,31,1.0,2157,240,1078,32,0.47,1820,910,607,32,1.03,1454,182,727
458,284165,steven-bergwijn,30,1.63,1928,193,482,37,1.78,1673,418,558,36,2.22,2406,301,219,41,2.12,3517,234,271,45,1.78,3198,355,228
460,111961,suso,21,1.71,1296,216,1296,37,1.68,3120,446,284,50,1.82,3893,487,324,41,1.73,3446,431,345,40,1.75,2665,888,888
462,165793,takumi-minamino,40,2.15,2501,192,417,31,2.06,1868,133,467,44,2.34,2454,223,245,45,2.51,2535,181,254,36,1.94,2092,232,190
463,331726,tammy-abraham,34,2.03,2798,140,466,48,1.33,3743,144,936,39,1.0,2240,280,448,42,1.71,3561,137,1187,47,1.68,2960,164,493
465,46972,teemu-pukki,44,1.61,3464,266,3464,46,1.87,3531,122,353,44,2.27,3324,175,302,46,1.91,3854,128,385,38,0.63,2995,272,998
466,280701,theo-bongonda,26,1.62,1308,654,654,42,1.26,2898,1449,483,19,2.26,1072,153,268,39,1.23,3238,231,231,29,1.1,1722,344,344
468,102226,thorgan-hazard,36,1.5,1939,323,323,33,1.45,2272,207,325,37,1.43,3211,292,357,35,1.57,3058,235,255,43,2.05,3095,442,221
469,170527,timo-werner,36,1.17,2454,351,491,32,1.97,2464,117,352,45,1.49,3397,162,340,37,1.95,3101,163,310,45,1.98,3589,106,276
470,384060,tino-kadewere,39,1.69,2172,241,543,13,1.85,664,166,664,19,2.16,1623,135,406,26,1.46,1790,298,358,24,1.75,2067,103,517
471,103381,tiquinho-soares,35,1.31,2738,196,1369,38,1.84,3302,165,826,34,2.32,1698,154,243,41,2.37,2841,124,406,52,2.12,3155,166,1052
472,229970,tom-lawrence,38,1.37,2343,1172,586,39,1.08,3225,293,293,44,1.59,3409,568,426,39,1.59,3055,436,611,40,1.25,3448,345,690
478,60540,valere-germain,40,1.58,3248,232,541,60,2.3,3522,207,704,55,1.84,3500,194,583,42,1.45,2550,319,1275,30,1.87,1786,893,357
479,256267,vedat-muriqi,37,1.3,2932,172,977,40,1.55,1970,328,1970,31,1.61,2027,169,676,36,1.17,3087,182,386,36,1.47,2939,173,420
487,213605,vitinho,28,1.32,2189,274,730,13,2.31,1015,169,169,69,1.86,4813,321,344,34,2.29,1391,232,464,29,1.86,1121,561,560
488,103565,wahbi-khazri,44,1.43,3280,410,410,23,0.43,1000,1000,1000,34,1.5,2549,232,637,35,1.6,3011,215,376,23,1.26,1659,277,415
490,381362,wesley,28,2.36,1877,188,375,32,1.25,1297,216,648,44,1.95,2745,211,1372,48,1.79,3892,229,389,22,1.09,1807,301,1807
492,145988,wilfried-zaha,43,1.37,3362,672,480,37,1.11,3131,447,285,29,1.52,2550,283,510,36,1.36,3223,322,322,39,1.1,3307,827,661
493,122155,willian-jose,34,1.26,2085,209,2085,34,1.62,2541,182,635,40,1.43,3163,158,791,34,1.35,2584,235,517,41,1.59,2160,196,2160
494,146854,wissam-ben-yedder,41,1.24,3348,146,558,42,1.93,2268,126,378,42,1.64,2741,125,548,54,1.7,4025,134,366,31,1.55,2455,129,273
497,60517,yacine-brahimi,44,1.95,3245,361,324,31,2.03,1927,275,482,49,2.33,3914,326,391,49,2.27,3429,264,381,23,2.22,2040,136,408
498,140776,yannick-carrasco,43,2.16,2402,480,480,53,2.0,3434,245,687,54,1.69,3789,344,237,26,1.42,2174,128,272,16,1.88,748,748,187
499,312294,yeferson-soteldo,32,1.84,2451,490,272,18,0.94,1381,691,276,31,1.71,2495,499,356,34,1.88,2818,282,470,29,1.55,2550,850,364
500,165361,yimmi-chara,16,0.88,1440,1440,360,52,1.5,3450,345,575,39,1.41,3334,667,303,34,1.5,2431,405,2431,23,1.91,1345,336,448
501,388165,yoane-wissa,24,1.38,1529,218,306,17,0.65,1094,547,1094,37,1.68,2657,204,886,39,1.69,2244,374,374,32,1.97,2356,147,471
503,157635,yussuf-poulsen,34,1.94,2121,303,424,30,2.0,2188,438,547,41,1.54,2241,448,224,45,1.91,3321,175,415,33,1.85,2061,412,159
504,134602,ze-luis,25,1.64,1768,177,354,24,2.17,1703,341,284,24,1.63,1546,258,193,36,1.47,2657,190,664,31,1.9,1744,174,872
