,id,nombre,2014_alineaciones,2014_puntos_por_partido,2014_minutos_jugados,2014_minutos_por_gol,2014_minutos_por_asistencia,2015_alineaciones,2015_puntos_por_partido,2015_minutos_jugados,2015_minutos_por_gol,2015_minutos_por_asistencia,2016_alineaciones,2016_puntos_por_partido,2016_minutos_jugados,2016_minutos_por_gol,2016_minutos_por_asistencia,2017_alineaciones,2017_puntos_por_partido,2017_minutos_jugados,2017_minutos_por_gol,2017_minutos_por_asistencia,2018_alineaciones,2018_puntos_por_partido,2018_minutos_jugados,2018_minutos_por_gol,2018_minutos_por_asistencia
103,197642,chuba-akpom,25,1.4,1457,162,728,41,1.85,2152,307,2152,15,1.93,563,188,282,24,1.46,1741,218,870,33,2.39,1913,239,383
104,105521,ciro-immobile,34,1.35,1671,167,557,29,1.21,1673,186,335,41,1.85,3517,135,703,47,2.02,3724,91,414,46,1.63,3694,194,308
106,141834,cristian-tello,37,2.3,2119,265,193,35,1.74,2093,523,419,42,1.64,2416,604,302,33,1.64,1773,296,443,41,1.39,2413,483,268
114,67063,danny-welbeck,37,1.92,2517,315,420,16,1.31,818,164,409,22,2.09,1094,219,274,43,1.47,2325,233,1162,14,2.57,604,121,604
115,92693,dario-benedetto,40,1.43,2979,130,331,43,1.88,2193,169,313,25,2.0,1857,88,619,15,2.33,1066,82,178,26,2.0,1732,346,866
116,211251,darwin-machis,26,1.42,1793,256,896,40,1.43,3373,337,562,29,0.59,1221,407,407,33,1.64,2715,194,452,29,1.31,1798,200,899
120,178459,davie-selke,33,1.3,2155,216,539,32,1.81,1997,200,666,21,1.67,436,109,436,31,1.19,2214,158,554,32,1.25,1850,463,206
121,208167,dawid-kownacki,38,1.74,2235,319,745,34,1.5,1798,257,1798,33,2.06,1654,138,551,24,1.33,921,115,307,27,1.41,969,162,484
122,292417,demarai-gray,43,1.35,2652,442,1326,42,1.62,2484,2484,621,43,1.28,1848,616,308,44,1.45,2375,594,594,39,1.46,2271,568,2271
126,83877,diego-farias,32,1.0,2014,252,288,37,2.0,2577,184,198,20,1.15,1163,166,582,30,1.23,1810,1810,302,35,1.2,2051,293,410
